"","magnitude","breakpoint","change_class"
"1",-0.216481684315344,"1","def"
"2",-0.0873749397901925,"1","no_change"
"3",-0.047942416415742,"1","no_change"
"4",-0.0951631335867844,"1","no_change"
"5",-0.118145484801524,"1","no_change"
"6",-0.0515057393168925,"1","no_change"
"7",0.0175883395283022,"1","no_change"
"8",-0.0737209760441047,"1","no_change"
"9",-0.117510477880555,"1","no_change"
"10",-0.0861979194405604,"1","def"
"11",-0.017798073403565,"1","no_change"
"12",-0.149048733512315,"1","def"
"13",-0.0339113899344058,"1","no_change"
"14",-0.0589597999029041,"1","no_change"
"15",-0.141010496380345,"1","no_change"
"16",-0.126059143077243,"1","def"
"17",-0.217179896756676,"1","def"
"18",-0.110769961070565,"1","def"
"19",-0.149464702115922,"1","deg"
"20",-0.0859949609877777,"1","def"
"21",-0.132644694658376,"1","def"
"22",-0.211632761577707,"1","def"
"23",-0.160456463961797,"1","no_change"
"24",-0.135597016170049,"1","def"
"25",-0.122418253451715,"1","def"
"26",-0.110413302895531,"1","deg"
"27",-0.0803745144325273,"1","def"
"28",-0.0738753604697037,"1","no_change"
"29",-0.178947609916358,"1","def"
"30",-0.0821831431988234,"1","deg"
"31",-0.162838445427636,"1","def"
"32",-0.122865965934844,"1","def"
"33",-0.23695340269863,"1","def"
"34",-0.181576285285266,"1","no_change"
"36",-0.0813028565079567,"1","no_change"
"37",-0.00260776985041555,"1","no_change"
"38",-0.0580187010288455,"1","def"
"39",-0.132891049997493,"1","deg"
"40",-0.106716236403396,"1","deg"
"41",-0.136439776909208,"1","deg"
"42",-0.0505346229374157,"1","deg"
"43",-0.0162652070712318,"1","no_change"
"44",-0.0539913655581626,"1","no_change"
"45",-0.20650939166834,"1","deg"
"46",-0.00889658574168872,"1","no_change"
"47",-0.100565832969776,"1","no_change"
"48",-0.0964528432037502,"1","def"
"49",-0.0893863926250555,"1","def"
"50",-0.0818976525084194,"1","deg"
"51",-0.136325760869398,"1","def"
"52",-0.219773128378876,"1","def"
"53",-0.0836101520932214,"1","def"
"54",-0.0495515603942567,"1","def"
"55",-0.0585005061088413,"1","no_change"
"56",-0.213093028453307,"1","no_change"
"57",-0.0675970909665464,"1","no_change"
"58",-0.0716526851846691,"1","deg"
"59",-0.0854146964799895,"1","deg"
"60",-0.0967294163537369,"1","def"
"61",-0.0990618156599613,"1","no_change"
"62",-0.106856508477426,"1","def"
"63",-0.215136177198173,"1","def"
"64",-0.146269822238744,"1","no_change"
"65",-0.0932580288194126,"1","no_change"
"66",-0.0949987032331726,"1","def"
"67",-0.0380161523855322,"1","no_change"
"68",-0.0425781813187699,"1","no_change"
"69",-0.0910691143545632,"1","def"
"70",-0.144330657986037,"1","deg"
"71",-0.0912718203304206,"1","def"
"72",-0.137937459804785,"1","deg"
"73",-0.142428836235512,"1","def"
"74",-0.0308147878462968,"1","def"
"75",-0.225317676925194,"1","def"
"76",-0.1942492819267,"1","def"
"77",-0.0755317161685097,"1","no_change"
"78",-0.15818991231559,"1","def"
"79",-0.0543489422093493,"1","no_change"
"80",-0.103284525976083,"1","def"
"81",-0.111175972093907,"1","def"
"82",-0.0943727575134386,"1","def"
"83",-0.0602197888449252,"1","no_change"
"84",-0.0132224852559415,"1","no_change"
"85",-0.106012462005524,"1","def"
"86",-0.151613956840989,"1","no_change"
"87",-0.149107066004053,"1","def"
"88",-0.0571819954661861,"1","def"
"89",-0.0717206736937301,"1","no_change"
"90",-0.112182716403613,"1","def"
"91",-0.135069508803379,"1","def"
"92",-0.171577749545399,"1","deg"
"93",-0.111764719281247,"1","deg"
"94",-0.104553812828783,"1","def"
"95",-0.142794948524626,"1","no_change"
"96",-0.137045886668434,"1","def"
"97",-0.0806756991368502,"1","deg"
