"DN","Change","c07","c08","c09","c10","m07","m08","m09","m10","deforest","minMagn","cMinMagn","newID"
10,"no_change",0,0,0,0,-0.023666549474001,-0.069569028913975,-0.022885164245963,0.015316305682063,"no",-0.069569028913975,0,1
11,"no_change",0,0,0,0,-0.029108636081219,-0.060442708432674,-0.012080033309758,0.01965618878603,"no",-0.060442708432674,0,2
12,"no_change",0,0,0,0,-0.015427021309733,-0.067585200071335,-0.038600105792284,0.029816409572959,"no",-0.067585200071335,0,3
13,"no_change",0,0,1,0,-0.047759890556335,-0.046848077327013,-0.068183995783329,-0.003311827545986,"no",-0.068183995783329,1,4
14,"no_change",0,0,1,0,-0.016627917066216,-0.040097083896399,-0.065885618329048,0.012910729274154,"no",-0.065885618329048,1,5
15,"no_change",0,0,1,0,-0.025516968220472,-0.027967263013124,-0.080533653497696,0.016976460814476,"no",-0.080533653497696,1,6
16,"no_change",0,0,1,0,0.01724293269217,-0.011992102488875,0.149825572967529,0.004748600535095,"no",-0.011992102488875,0,7
17,"no_change",0,0,1,0,-0.006641651969403,-0.008994895964861,0.166391238570213,-0.002901642117649,"no",-0.008994895964861,0,8
18,"no_change",0,0,1,0,0.032394893467426,-0.015531157143414,0.148371770977974,-0.002290156902745,"no",-0.015531157143414,0,9
19,"no_change",0,0,0,0,0.025941535830498,-0.049213573336601,0.041870769113302,0.003179727122188,"no",-0.049213573336601,0,10
20,"no_change",0,0,0,0,0.035842072218657,-0.072410009801388,0.040046326816082,0.012819773517549,"no",-0.072410009801388,0,11
21,"no_change",0,0,0,0,0.034804999828339,-0.060056984424591,0.0380191616714,0.018432969227433,"no",-0.060056984424591,0,12
22,"no_change",0,0,0,0,-0.025031777098775,-0.046904236078262,-0.002788265934214,-0.004806141369045,"no",-0.046904236078262,0,13
23,"no_change",0,0,0,0,-0.022485012188554,-0.0372144728899,-0.013004127889872,-0.009132183156908,"no",-0.0372144728899,0,14
24,"no_change",0,0,0,0,-0.032514724880457,-0.019872684031725,-0.011359383352101,-0.018340062350035,"no",-0.019872684031725,0,15
25,"no_change",0,0,0,0,0.003847920335829,-0.03438775613904,0.003318282775581,0.012469226494431,"no",-0.03438775613904,0,16
26,"no_change",0,0,0,0,-0.000662992766593,-0.026051480323076,-0.000313276425004,0.013284908607602,"no",-0.026051480323076,0,17
27,"no_change",0,0,0,0,-0.000536671315785,-0.025532281026244,0.004893759731203,0.0050666523166,"no",-0.025532281026244,0,18
34,"def",0,0,1,1,0.033767580986023,-0.105144575238228,-0.103718183934689,-0.029265558347106,"yes",-0.105144575238228,0,19
35,"def",0,0,1,0,0.015474288724363,-0.090837612748146,-0.114901177585125,-0.00529418932274,"yes",-0.114901177585125,1,20
36,"def",0,0,1,0,0.031324852257967,-0.064609125256538,-0.101665236055851,0.010148584842682,"yes",-0.101665236055851,1,21
40,"def",0,0,0,0,0.063362844288349,0.012235341593623,-0.000109340107883,0.01601704210043,"yes",-0.000109340107883,0,22
41,"def",0,0,0,0,0.019240986555815,0.050806764513254,0.025663580745459,0.008435777388513,"yes",0.008435777388513,0,23
42,"deg",0,0,0,0,0.031692676246166,0.044353645294905,-0.013644984923303,0.019349308684468,"no",-0.013644984923303,0,24
43,"no_change",0,0,0,0,-0.022446675226092,-0.043036516755819,0.027281289920211,0.006076018325984,"no",-0.043036516755819,0,25
45,"no_change",0,0,0,0,0.040839429944754,-0.015273598954082,0.020040700212121,-0.000670917972457,"no",-0.015273598954082,0,26
46,"no_change",0,0,1,0,0.007416822016239,-0.05559541657567,-0.072106577455997,0.028745543211699,"no",-0.072106577455997,1,27
47,"no_change",0,0,1,0,0.021802611649036,-0.05468488112092,-0.067414693534374,0.028610361739993,"no",-0.067414693534374,1,28
48,"no_change",0,0,1,0,0.04877158626914,-0.056735306978226,-0.041240155696869,0.018013020977378,"no",-0.056735306978226,0,29
49,"no_change",0,0,1,0,0.005276527255774,-0.029152229428291,-0.074536398053169,0.009934205561876,"no",-0.074536398053169,1,30
50,"no_change",0,0,1,0,0.033193111419678,-0.001141290878877,-0.05912896245718,0.022190613672137,"no",-0.05912896245718,1,31
51,"no_change",0,0,1,0,0.017590964213014,-0.014752031303942,-0.06135580688715,0.023974314332008,"no",-0.06135580688715,1,32
52,"no_change",0,0,1,0,0.012228474952281,-0.041885729879141,-0.032549943774939,0.023638775572181,"no",-0.041885729879141,0,33
53,"no_change",0,0,1,0,0.013477860949934,-0.034757971763611,-0.041792213916779,0.001894153072499,"no",-0.041792213916779,1,34
54,"no_change",0,0,1,0,0.00688285054639,-0.05616507679224,-0.04252702742815,0.001435256563127,"no",-0.05616507679224,0,35
55,"def",0,0,1,0,0.004510429222137,-0.067735239863396,-0.074913837015629,0.002629647264257,"yes",-0.074913837015629,1,36
56,"def",0,0,1,0,0.009615689516068,-0.060966935008764,-0.062222078442574,-0.000260431377683,"yes",-0.062222078442574,1,37
57,"def",0,0,1,0,0.006027731578797,-0.040922116488218,-0.06297966837883,0.005008227657527,"yes",-0.06297966837883,1,38
60,"no_change",0,0,1,0,-0.00789294950664,-0.053013365715742,-0.033113956451416,0.021531455218792,"no",-0.053013365715742,0,39
64,"def",0,0,1,0,-0.010246585123241,-0.029746051877737,-0.085780240595341,0.01601923443377,"yes",-0.085780240595341,1,40
65,"deg",0,0,1,0,0.006965242791921,-0.024469634518027,-0.121698401868343,0.036736097186804,"no",-0.121698401868343,1,41
67,"no_change",0,0,0,0,-0.017687236890197,-0.030163276940584,0.01677543669939,0.004640827421099,"no",-0.030163276940584,0,42
